Subject,Fluency_Item,Switch_Value,Switch_Method
1232,dog,2,simdrop
1232,cat,0,simdrop
1232,giraffe,1,simdrop
1232,zebra,0,simdrop
1232,lion,0,simdrop
1232,turkey,1,simdrop
1232,chicken,0,simdrop
1232,spider,1,simdrop
1232,tarantula,0,simdrop
1232,fish,1,simdrop
1232,fox,0,simdrop
1232,deer,0,simdrop
1232,moose,0,simdrop
1232,squirrel,0,simdrop
1232,guinea_pig,0,simdrop
1232,mouse,0,simdrop
1232,bird,1,simdrop
1232,swan,2,simdrop
1232,dog,2,multimodal_alpha=0.0
1232,cat,0,multimodal_alpha=0.0
1232,giraffe,0,multimodal_alpha=0.0
1232,zebra,0,multimodal_alpha=0.0
1232,lion,0,multimodal_alpha=0.0
1232,turkey,0,multimodal_alpha=0.0
1232,chicken,0,multimodal_alpha=0.0
1232,spider,0,multimodal_alpha=0.0
1232,tarantula,0,multimodal_alpha=0.0
1232,fish,0,multimodal_alpha=0.0
1232,fox,0,multimodal_alpha=0.0
1232,deer,0,multimodal_alpha=0.0
1232,moose,0,multimodal_alpha=0.0
1232,squirrel,0,multimodal_alpha=0.0
1232,guinea_pig,0,multimodal_alpha=0.0
1232,mouse,0,multimodal_alpha=0.0
1232,bird,0,multimodal_alpha=0.0
1232,swan,2,multimodal_alpha=0.0
1232,dog,2,multimodal_alpha=0.1
1232,cat,0,multimodal_alpha=0.1
1232,giraffe,0,multimodal_alpha=0.1
1232,zebra,0,multimodal_alpha=0.1
1232,lion,0,multimodal_alpha=0.1
1232,turkey,1,multimodal_alpha=0.1
1232,chicken,0,multimodal_alpha=0.1
1232,spider,1,multimodal_alpha=0.1
1232,tarantula,0,multimodal_alpha=0.1
1232,fish,1,multimodal_alpha=0.1
1232,fox,0,multimodal_alpha=0.1
1232,deer,1,multimodal_alpha=0.1
1232,moose,0,multimodal_alpha=0.1
1232,squirrel,0,multimodal_alpha=0.1
1232,guinea_pig,0,multimodal_alpha=0.1
1232,mouse,0,multimodal_alpha=0.1
1232,bird,1,multimodal_alpha=0.1
1232,swan,2,multimodal_alpha=0.1
1232,dog,2,multimodal_alpha=0.2
1232,cat,0,multimodal_alpha=0.2
1232,giraffe,0,multimodal_alpha=0.2
1232,zebra,0,multimodal_alpha=0.2
1232,lion,0,multimodal_alpha=0.2
1232,turkey,1,multimodal_alpha=0.2
